Trial,"TargetGender
1=M, 2=F","DistractorGender
1=M, 2=F","TrialType_phon
MP=MinimalPairs
PO=PhonOnsetOverlap
","Target_NounMorph
T=TransparentMorph
O=OpaqueMorph","NounAnimacy
A=Animate
nonA=NonAnimate","Type_Animacy
Sem=Semantic, humans&animals
Epic=Epicene, animals","Position of Target
1=top left
2=top right
3=bottom"
Trial01-def-campsina_0,2,1,MP,T,A,Sem,1
Trial01-pos-campsina_0,2,1,MP,T,A,Sem,1
Trial02-def-perro_0,1,2,MP,T,A,Sem,1
Trial02-pos-perro_0,1,2,MP,T,A,Sem,1
Trial03-def-pesa_0,2,1,MP,T,nonA,,3
Trial03-pos-pesa_0,2,1,MP,T,nonA,,3
Trial04-def-palo_0,1,2,MP,T,nonA,,2
Trial04-pos-palo_0,1,2,MP,T,nonA,,2
Trial05-def-coneja_0,2,1,MP,T,A,Sem,2
Trial05-pos-coneja_0,2,1,MP,T,A,Sem,2
Trial06-def-brujo_0,1,2,MP,T,A,Sem,3
Trial06-pos-brujo_0,1,2,MP,T,A,Sem,3
Trial07-def-ramo_0,1,2,MP,T,nonA,,1
Trial07-pos-ramo_0,1,2,MP,T,nonA,,1
Trial08-def-puerta_0,2,1,MP,T,nonA,,1
Trial08-pos-puerta_0,2,1,MP,T,nonA,,1
Trial09-def-cocinera_0,2,2,MP,T,A,Sem,3
Trial09-pos-cocinera_0,2,2,MP,T,A,Sem,3
Trial10-def-oso_0,1,1,MP,T,A,Sem,2
Trial10-pos-oso_0,1,1,MP,T,A,Sem,2
Trial11-def-ojo_0,1,1,MP,T,nonA,,2
Trial11-pos-ojo_0,1,1,MP,T,nonA,,2
Trial12-def-raya_0,2,2,MP,T,nonA,,3
Trial12-pos-raya_0,2,2,MP,T,nonA,,3
Trial13-def-gata_0,2,2,MP,T,A,Sem,1
Trial13-pos-gata_0,2,2,MP,T,A,Sem,1
Trial14-def-maestro_0,1,1,MP,T,A,Sem,1
Trial14-pos-maestro_0,1,1,MP,T,A,Sem,1
Trial15-def-vela_0,2,2,MP,T,nonA,,3
Trial15-pos-vela_0,2,2,MP,T,nonA,,3
Trial16-def-plato_0,1,1,MP,T,nonA,,2
Trial16-pos-plato_0,1,1,MP,T,nonA,,2
Trial17-def-princesa_0,2,2,PO,T,A,Sem,2
Trial17-pos-princesa_0,2,2,PO,T,A,Sem,2
Trial18-def-toro_0,1,1,PO,T,A,Epic,3
Trial18-pos-toro_0,1,1,PO,T,A,Epic,3
Trial19-def-libreta_0,2,2,PO,T,nonA,,1
Trial19-pos-libreta_0,2,2,PO,T,nonA,,1
Trial20-def-coco_0,1,1,PO,T,A,,1
Trial20-pos-coco_0,1,1,PO,T,A,,1
Trial21-def-ninera_0,2,1,PO,T,A,Sem,3
Trial21-pos-ninera_0,2,1,PO,T,A,Sem,3
Trial22-def-camello_0,1,2,PO,T,A,Epic,2
Trial22-pos-camello_0,1,2,PO,T,A,Epic,2
Trial23-def-caja_0,2,1,PO,T,nonA,,2
Trial23-pos-caja_0,2,1,PO,T,nonA,,2
Trial24-def-jabon_0,1,2,PO,O,nonA,,2
Trial24-pos-jabon_0,1,2,PO,O,nonA,,2
Trial25-def-ballena_0,2,1,PO,T,A,Epic,1
Trial25-pos-ballena_0,2,1,PO,T,A,Epic,1
Trial26-def-cabellero_0,1,2,PO,T,A,Sem,1
Trial26-pos-cabellero_0,1,2,PO,T,A,Sem,1
Trial27-def-pina_0,2,2,PO,T,nonA,,3
Trial27-pos-pina_0,2,2,PO,T,nonA,,3
Trial28-def-zapato_0,1,2,PO,T,nonA,,3
Trial28-pos-zapato_0,1,2,PO,T,nonA,,3
Trial29-def-mosca_0,2,2,PO,T,A,Epic,2
Trial29-pos-mosca_0,2,2,PO,T,A,Epic,2
Trial30-def-sapo_0,1,2,PO,T,A,Epic,3
Trial30-pos-sapo_0,1,2,PO,T,A,Epic,3
Trial31-def-casa_0,2,2,PO,T,nonA,,1
Trial31-pos-casa_0,2,2,PO,T,nonA,,1
Trial32-def-sombrero_0,1,1,PO,T,nonA,,1
Trial32-pos-sombrero_0,1,1,PO,T,nonA,,1
Trial33-def-cantante_0,2,2,PO,O,A,Sem,3
Trial33-pos-cantante_0,2,2,PO,O,A,Sem,3
Trial34-def-leon_0,1,1,PO,O,A,Epic,2
Trial34-pos-leon_0,1,1,PO,O,A,Epic,2
Trial35-def-nube_0,2,2,PO,O,nonA,,2
Trial35-pos-nube_0,2,2,PO,O,nonA,,2
Trial36-def-cofre_0,1,1,PO,O,nonA,,3
Trial36-pos-cofre_0,1,1,PO,O,nonA,,3
Trial37-def-serpiente_0,2,1,PO,O,A,Epic,1
Trial37-pos-serpiente_0,2,1,PO,O,A,Epic,1
Trial38-def-paciente_0,1,2,PO,O,A,Sem,1
Trial38-pos-paciente_0,1,2,PO,O,A,Sem,1
Trial39-def-leche_0,2,1,PO,O,nonA,,3
Trial39-pos-leche_0,2,1,PO,O,nonA,,3
Trial40-def-sobre_0,1,2,PO,O,nonA,,2
Trial40-pos-sobre_0,1,2,PO,O,nonA,,2
Trial41-def-mujer_0,2,2,PO,O,A,Sem,2
Trial41-pos-mujer_0,2,2,PO,O,A,Sem,2
Trial42-def-escorpion_0,1,1,PO,O,A,Epic,3
Trial42-pos-escorpion_0,1,1,PO,O,A,Epic,3
Trial43-def-sal_0,2,2,PO,O,nonA,,1
Trial43-pos-sal_0,2,2,PO,O,nonA,,1
Trial44-def-tren_0,1,1,PO,O,nonA,,1
Trial44-pos-tren_0,1,1,PO,O,nonA,,1
Trial45-def-lombriz_0,2,2,PO,O,A,Epic,3
Trial45-pos-lombriz_0,2,2,PO,O,A,Epic,3
Trial46-def-doctor_0,1,2,PO,O,A,Sem,2
Trial46-pos-doctor_0,1,2,PO,O,A,Sem,2
Trial47-def-red_0,2,1,PO,O,nonA,,2
Trial47-pos-red_0,2,1,PO,O,nonA,,2
Trial48-def-camion_0,1,2,PO,O,nonA,,3
Trial48-pos-camion_0,1,2,PO,O,nonA,,3
